2016-09-19 15:11:12 sys_log : [ERROR]   节点任务 -> [info = android.widget.Button,允许,,android:id/button1,2], NoSuchElementException, 弹出下一个节点任务, c299e8eebe21b397e9dc934e03beb1b1-961,648-1446,791-//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.Button[2]
2016-09-19 15:12:12 sys_log : [ERROR]   节点任务 -> [info = android.widget.Button,scan,,com.myandroid.test:id/button_scan,2], NoSuchElementException, 弹出下一个节点任务, 75de25af08824a094f2ebe9b797e1a62-518,587-1402,731-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.Button[1]
2016-09-19 15:34:08 sys_log : [ERROR]   节点任务 -> [info = android.widget.EditText,2,,com.myandroid.test:id/editText5,2], NoSuchElementException, 弹出下一个节点任务, 737e9b2c22133661f9e15ffe82730df8-567,1459-756,1603-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.EditText[4]
2016-09-19 15:34:56 sys_log : [ERROR]   节点任务 -> [info = android.widget.EditText,1_lbt4_0#128#00E04C3BD63C#0#0#0:1384419419:xpray:Y-PC:0:,,com.myandroid.test:id/editText1,2], NoSuchElementException, 弹出下一个节点任务, 737e9b2c22133661f9e15ffe82730df8-0,1603-630,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.EditText[5]
2016-09-19 15:35:47 sys_log : [ERROR]   节点任务 -> [info = android.widget.Button,Send,,com.myandroid.test:id/button1,2], NoSuchElementException, 弹出下一个节点任务, 737e9b2c22133661f9e15ffe82730df8-919,1600-1080,1744-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.Button[2]
2016-09-19 15:37:31 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-48,384-294,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[5]
2016-09-19 15:38:21 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-294,384-540,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[6]
2016-09-19 15:39:13 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：购物,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-540,384-786,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[7]
2016-09-19 15:40:05 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,文件夹：生活,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-786,384-1032,672-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[8]
2016-09-19 15:40:55 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-48,672-294,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[9]
2016-09-19 15:41:46 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 9ed21027e5c3be782319ffbea65f592-294,672-540,960-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.widget.LinearLayout[10]
