2016-09-22 11:19:38 sys_log : [ERROR]   节点任务 -> [info = android.widget.TextView,,,com.alibaba.aliyun:id/hidePwd,2], NoSuchElementException, 弹出下一个节点任务, 5cb83bedc72919c72488aa450130f130-954,456-1044,542-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.TextView[2]
2016-09-22 11:20:27 sys_log : [ERROR]   节点任务 -> [info = android.widget.Button,允许,,android:id/button1,2], NoSuchElementException, 弹出下一个节点任务, 36dc1aa7edb1a36a409f35e64d93b0ee-541,1068-1026,1211-//android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.Button[2]
2016-09-22 11:21:09 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/pluginLayout,1], NoSuchElementException, 弹出下一个节点任务, 12a895dc873f608b436a52bdef1795c8-0,219-270,534-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView[1]/android.widget.RelativeLayout[1]
2016-09-22 11:22:31 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, ffd0c5a7a77c24d3820748f77be2c3f8-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:23:21 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, 6607b6aaed877165d4665a04096a2e51-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:24:12 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, f6a443b3d543babc3406cf71da161b35-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:25:01 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, ad3ca97663e9229b0e997de8e50a06c1-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:25:51 sys_log : [ERROR]   节点任务 -> [info = android.widget.TextView,立即登录,,com.alibaba.aliyun:id/login,2], NoSuchElementException, 弹出下一个节点任务, 103faddd695e971381b74d5025845613-444,558-636,623-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.TextView[1]
2016-09-22 11:26:47 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, 9e4603d085c6691ae1be33b2b109ebd3-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:27:36 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, af0960f10f822e4def715e865af5b3e6-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-22 11:28:27 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/close,2], NoSuchElementException, 弹出下一个节点任务, 8aa1591ad8f667e21bb507a9fef7b9fb-120,75-240,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
