2016-09-23 14:56:31 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/sessionItemContainer,2], NoSuchElementException, 弹出下一个节点任务, d797a4d51ab14add2eb5dbcb7a2cef96-0,220-1080,436-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[1]
2016-09-23 14:57:18 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/pluginLayout,1], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-0,219-270,534-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView[1]/android.widget.RelativeLayout[1]
2016-09-23 14:58:55 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/rl_right_button,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-840,75-1080,219-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-23 14:59:35 sys_log : [ERROR]   节点任务 -> [info = android.widget.ImageView,,,com.alibaba.aliyun:id/common_right_button,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-960,111-1032,183-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]/android.widget.ImageView[1]
2016-09-23 15:00:16 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/filter_header,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-0,219-1080,351-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]
2016-09-23 15:00:56 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/sessionItemContainer,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-0,352-1080,821-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[1]
2016-09-23 15:01:37 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/buttonArea,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-48,647-1032,791-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout[2]
2016-09-23 15:02:18 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/sessionItemContainer,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-0,822-1080,1291-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[2]
2016-09-23 15:02:59 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/buttonArea,2], NoSuchElementException, 弹出下一个节点任务, 5224b5330ac1769e3c8ecbd5b5697619-48,1117-1032,1261-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.RelativeLayout[2]/android.widget.RelativeLayout[2]
2016-09-23 15:06:45 sys_log : [ERROR]   节点任务 -> [info = android.widget.ImageView,,,,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-0,1471-1080,1690-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ImageView[2]
2016-09-23 15:07:33 sys_log : [ERROR]   节点任务 -> [info = android.widget.TextView,更多,,com.alibaba.aliyun:id/solution_more,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-930,1744-1002,1770-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.TextView[3]
2016-09-23 15:08:27 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-0,1770-270,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]
2016-09-23 15:09:25 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-270,1770-540,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[2]
2016-09-23 15:10:29 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-540,1770-810,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[3]
2016-09-23 15:11:36 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,,2], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-810,1770-1080,1920-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[4]
2016-09-23 15:12:29 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/pluginLayout,1], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-270,219-540,534-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView[1]/android.widget.RelativeLayout[2]
2016-09-23 15:13:12 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/pluginLayout,1], NoSuchElementException, 弹出下一个节点任务, 887f223cae924d5f36e08ec31f717a0e-540,219-810,534-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ScrollView[1]/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView[1]/android.widget.RelativeLayout[3]
